Značka,Model,První registrace,Cena,Najeto,Výkon,Palivo,Spotřeba,Převodovka
Mercedes-Benz,B 250,11/2022,573 260 Kč,20 225 km,160 kW,Hybrid,,Automat
Nissan,Ariya,4/2023,813 260 Kč,18 000 km,160 kW,Elektro,,Automat
Mercedes-Benz,C 300,11/2022,850 260 Kč,5 350 km,190 kW,Benzín,,Automat
Fiat,Talento,12/2020,271 760 Kč,135 000 km,88 kW,Diesel,5.6 l/100km,Manuál
Mercedes-Benz,E 300,6/2022,747 260 Kč,137 000 km,225 kW,Hybrid,,Automat
Citroën,C4,5/2023,631 760 Kč,3 km,100 kW,Elektro,,Automat
Citroën,Jumpy,2/2022,309 260 Kč,145 522 km,89 kW,Diesel,4.9 l/100km,Manuál
Kia,EV6,1/2024,1 135 260 Kč,5 km,168 kW,Elektro,16.5 kWh/100km,Automat
Genesis,G80,2/2022,1 011 260 Kč,26 384 km,272 kW,Elektro,,Automat
Maxus,Deliver 3,6/2024,569 760 Kč,100 km,90 kW,Elektro,,Automat
Citroën,Jumpy,1/2020,608 760 Kč,172 867 km,90 kW,Diesel,5.4 l/100km,Automat
Honda,e:NY1,7/2024,773 760 Kč,5 000 km,150 kW,Elektro,,Automat
Smart,ForFour,10/2019,242 760 Kč,39 280 km,60 kW,Elektro,,Automat
Citroën,Jumper,2/2024,662 760 Kč,10 km,103 kW,Diesel,10 l/100km,Manuál
Citroën,C4,9/2023,541 760 Kč,6 686 km,100 kW,Elektro,,Automat
Audi,e-tron,1/2023,931 260 Kč,30 576 km,300 kW,Elektro,,Automat
Toyota,Mirai,2/2019,536 260 Kč,27 483 km,113 kW,Vodík,,Automat
Hyundai,Inster,12/2024,616 260 Kč,0 km,71 kW,Elektro,14.3 kWh/100km,Automat
BMW,X4,4/2024,1 341 260 Kč,24 446 km,135 kW,Benzín,7.1 l/100km,Automat
Opel,Combo,3/2019,275 760 Kč,134 750 km,77 kW,Diesel,4.2 l/100km,Manuál
Renault,Master,5/2021,631 760 Kč,99 995 km,132 kW,Diesel,8.5 l/100km,Automat
Ford,Explorer,1/2024,1 201 260 Kč,20 km,125 kW,Elektro,,Automat
BMW,525,9/2012,230 760 Kč,150 000 km,160 kW,Diesel,5.1 l/100km,Automat
Kia,Sorento,12/2020,655 260 Kč,73 188 km,147 kW,Diesel,6.2 l/100km,Automat
Audi,e-tron,2/2023,957 260 Kč,19 850 km,300 kW,Elektro,,Automat
Seat,Ibiza,12/2024,583 260 Kč,50 km,85 kW,Benzín,4.9 l/100km,Automat
Audi,S5,2/2022,1 085 260 Kč,28 849 km,251 kW,Diesel,6.4 l/100km,Automat
Ford,Transit Custom,11/2016,359 260 Kč,119 000 km,96 kW,Diesel,6 l/100km,Manuál
